layer,component,explained_variance_ratio,cumulative_explained_variance
0,53,0.002783812116831541,0.3382154300343245
0,54,0.0027668760158121586,0.3409823060501367
0,55,0.0027418157551437616,0.34372412180528045
0,56,0.0026773465797305107,0.34640146838501096
0,57,0.0026409514248371124,0.34904241980984807
0,58,0.002619242062792182,0.35166166187264025
0,59,0.002600576728582382,0.35426223860122263
0,60,0.002568504074588418,0.35683074267581105
0,61,0.0025397080462425947,0.35937045072205365
0,62,0.0025229116436094046,0.36189336236566305
0,63,0.0024960164446383715,0.3643893788103014
0,64,0.002486799843609333,0.36687617865391076
0,65,0.0024770384188741446,0.3693532170727849
0,66,0.0024519511498510838,0.371805168222636
0,67,0.0024312168825417757,0.37423638510517776
0,68,0.00241836323402822,0.376654748339206
0,69,0.0024039570707827806,0.37905870540998876
0,70,0.0023773196153342724,0.38143602502532303
0,71,0.0023371826391667128,0.38377320766448975
0,72,0.002333716955035925,0.38610692461952567
0,73,0.0023177529219537973,0.38842467754147947
0,74,0.0022986559197306633,0.39072333346121013
0,75,0.002276191720739007,0.39299952518194914
0,76,0.0022435709834098816,0.395243096165359
0,77,0.0022284300066530704,0.3974715261720121
0,78,0.0021967801731079817,0.3996683063451201
0,79,0.0021895922254770994,0.40185789857059717
0,80,0.0021708717104047537,0.4040287702810019
0,81,0.0021520887967199087,0.40618085907772183
0,82,0.00214227638207376,0.4083231354597956
0,83,0.0021152461413294077,0.410438381601125
0,84,0.0021000260021537542,0.41253840760327876
0,85,0.0020801909267902374,0.414618598530069
0,86,0.0020542654674500227,0.416672863997519
0,87,0.0020523222628980875,0.4187251862604171
0,88,0.0020236948039382696,0.4207488810643554
0,89,0.0020174002274870872,0.42276628129184246
0,90,0.001997009851038456,0.4247632911428809
0,91,0.0019752560183405876,0.4267385471612215
0,92,0.0019713027868419886,0.4287098499480635
0,93,0.001959532732143998,0.4306693826802075
0,94,0.0019510071724653244,0.4326203898526728
0,95,0.0019402661127969623,0.4345606559654698
0,96,0.0019203579286113381,0.4364810138940811
0,97,0.001915095141157508,0.4383961090352386
0,98,0.0018984454218298197,0.44029455445706844
0,99,0.0018790049944072962,0.44217355945147574
0,100,0.0018678614869713783,0.4440414209384471
0,101,0.0018504522740840912,0.4458918732125312
0,102,0.0018457917030900717,0.4477376649156213
0,103,0.0018355009378865361,0.4495731658535078
0,104,0.0018226857064291835,0.451395851559937
0,105,0.0018125706119462848,0.4532084221718833
0,106,0.0017987702740356326,0.4550071924459189
0,107,0.0017766699893400073,0.4567838624352589
0,108,0.0017746778903529048,0.45855854032561183
0,109,0.0017636452103033662,0.4603221855359152
0,110,0.001758876140229404,0.4620810616761446
0,111,0.0017428287537768483,0.46382389042992145
0,112,0.001736028352752328,0.4655599187826738
0,113,0.001721999142318964,0.46728191792499274
0,114,0.0017197298584505916,0.46900164778344333
0,115,0.0017132386565208435,0.4707148864399642
0,116,0.0017055710777640343,0.4724204575177282
0,117,0.001697530853562057,0.47411798837129027
0,118,0.0016832668334245682,0.47580125520471483
0,119,0.001673397608101368,0.4774746528128162
0,120,0.0016662409761920571,0.47914089378900826
0,121,0.0016523015219718218,0.4807931953109801
0,122,0.0016408588271588087,0.4824340541381389
0,123,0.0016347207129001617,0.48406877485103905
0,124,0.0016264303121715784,0.48569520516321063
0,125,0.0016187549335882068,0.48731396009679884
0,126,0.001601938041858375,0.4889158981386572
0,127,0.001589771592989564,0.4905056697316468
0,128,0.0015875817043706775,0.49209325143601745
0,129,0.0015766926808282733,0.4936699441168457
0,130,0.0015630933921784163,0.49523303750902414
0,131,0.0015592601848766208,0.49679229769390076
0,132,0.001554909278638661,0.4983472069725394
0,133,0.0015490165678784251,0.49989622354041785
0,134,0.0015254447935149074,0.5014216683339328
0,135,0.0015243195230141282,0.5029459878569469
0,136,0.001514534349553287,0.5044605222065002
0,137,0.0015005223685875535,0.5059610445750877
0,138,0.0014948778552934527,0.5074559224303812
0,139,0.0014914380153641105,0.5089473604457453
0,140,0.0014741135528311133,0.5104214739985764
0,141,0.0014730771072208881,0.5118945511057973
0,142,0.0014618223067373037,0.5133563734125346
0,143,0.0014582285657525063,0.5148146019782871
