aggregate_normalized_mse,pilot_resource_overlap_ratio,sample_id
0.8955162912607193,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=3
0.7739080712199211,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=3
0.8393546640872955,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=3
0.8561932742595673,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=4
0.7617721520364285,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=4
0.7626721523702145,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=4
0.8042423352599144,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=5
0.7877722233533859,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=5
0.7812950722873211,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=5
0.8309990018606186,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=6
0.7922498844563961,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=6
0.8531090170145035,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=6
0.796134952455759,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=7
0.7248534820973873,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=7
0.8666426055133343,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=7
0.7634113989770412,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=8
0.7736273035407066,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=8
0.7697116509079933,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=8
0.7302191015332937,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=9
0.8159224539995193,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=9
0.789236381649971,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=9
0.7234158627688885,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=10
0.7783850431442261,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=10
