layer0_normalized_mse,layer1_normalized_mse,layer2_normalized_mse,layer3_normalized_mse,layer4_normalized_mse,layer5_normalized_mse,layer6_normalized_mse,layer7_normalized_mse,narrowband_start_index,sample_id
0.24501529335975647,0.8462757468223572,0.7528541088104248,0.8036748766899109,0.7990022301673889,0.7652695178985596,0.8725051283836365,0.8294902443885803,17,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=10
0.37966474890708923,0.7404228448867798,0.6918995976448059,0.8366283178329468,0.8478816747665405,0.8434849381446838,0.9123143553733826,0.8896210193634033,47,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=10
0.41746270656585693,0.6651269197463989,0.917924702167511,0.903541088104248,0.8136056661605835,0.9107850790023804,0.9009436368942261,0.8757327198982239,12,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=10
0.3969888985157013,0.8415921926498413,0.8369995355606079,0.9227575063705444,0.8366049528121948,0.9119580388069153,0.8742267489433289,0.8772066831588745,21,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=11
0.3121894598007202,0.8033058643341064,0.7755857706069946,0.9215824604034424,0.8933375477790833,0.8848360776901245,0.8841323256492615,0.9123172163963318,9,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=11
0.3550288677215576,0.7673739790916443,0.9491204619407654,0.8684346079826355,0.8693953156471252,0.9845272302627563,0.9020366072654724,0.9329695701599121,1,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=11
0.4200825095176697,0.9524857997894287,0.993365466594696,0.8426826596260071,0.8081562519073486,0.8872606754302979,0.8860414624214172,0.9216213822364807,46,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=12
0.24092896282672882,0.7373188734054565,0.8859848976135254,0.8688678741455078,0.9080789089202881,0.8576536178588867,0.9342427253723145,0.8993302583694458,20,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=12
0.4922746419906616,0.8147812485694885,0.8863220810890198,0.8478378057479858,0.8180859684944153,0.8868139386177063,0.9650354981422424,0.952061116695404,53,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=12
0.6093392968177795,0.915570855140686,0.9322939515113831,0.96988844871521,0.9243277907371521,0.9558576345443726,0.8921562433242798,0.9830537438392639,43,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=13
