architecture,cosine_similarity,finite,group,layer,normalized_mse,optimal_scalar_rescaled_normalized_loss,pearson_correlation,power_ratio,raw_mse,reconstruction_mean,reconstruction_power,reconstruction_std,relative_improvement_over_zero,subset,target_power,zero_normalized_mse
conv_conformer_v1,0.2000048402696848,True,same_speaker_unseen_utterance_unseen_channel,4,0.9808716103434563,0.9593896269798279,0.1999801304191351,0.11994282249361277,0.7934767380356789,0.002569933421909809,0.0969958221539855,0.3114309310913086,0.01912838965654373,subset_16,0.8094110637903214,1.0
conv_conformer_v1,0.173085056245327,True,same_speaker_unseen_utterance_unseen_channel,5,0.9947763904929161,0.9695676565170288,0.1730561014264822,0.10958306584507227,0.6727925315499306,0.0008167946361936629,0.07394030038267374,0.2719184458255768,0.005223609507083893,subset_16,0.676907554268837,1.0
conv_conformer_v1,0.17857740260660648,True,same_speaker_unseen_utterance_unseen_channel,6,0.9831398352980614,0.9677793979644775,0.1785319484770298,0.09246635250747204,0.5665334425866604,-0.00011879324301844463,0.05295207304880023,0.23011314868927002,0.01686016470193863,subset_16,0.5762948170304298,1.0
conv_conformer_v1,0.14787200558930635,True,same_speaker_unseen_utterance_unseen_channel,7,0.9945977926254272,0.9771063923835754,0.1478625861927867,0.0827406388707459,0.5014404058456421,0.001925026997923851,0.04126882995478809,0.20313820242881775,0.005402207374572754,subset_16,0.5038060806691647,1.0
conv_conformer_v1,0.6364605128765106,True,seen_utterance_unseen_channel,0,0.5915872305631638,0.5938294529914856,0.636412687599659,0.3617948368191719,7.325775384902954,0.04146433249115944,4.411376982927322,2.0999183654785156,0.40841276943683624,subset_16,12.305654048919678,1.0
conv_conformer_v1,0.44136764854192734,True,seen_utterance_unseen_channel,1,0.8028455078601837,0.8029373288154602,0.4413781091570854,0.18111448734998703,1.6418912410736084,-0.00147208571434021,0.3632128871977329,0.6026696562767029,0.19715449213981628,subset_16,2.0435864329338074,1.0
conv_conformer_v1,0.43924709036946297,True,seen_utterance_unseen_channel,2,0.8049385771155357,0.8123395442962646,0.43918943405151367,0.1846640147268772,1.1153400093317032,0.0031133112497627735,0.2419397570192814,0.491863876581192,0.19506142288446426,subset_16,1.3726950734853745,1.0
conv_conformer_v1,0.38206977769732475,True,seen_utterance_unseen_channel,3,0.8533268645405769,0.8519240021705627,0.38206594064831734,0.13709578476846218,0.8386618867516518,-0.00035905285039916635,0.1358618838712573,0.36859428882598877,0.14667313545942307,subset_16,0.9842292293906212,1.0
conv_conformer_v1,0.37868496775627136,True,seen_utterance_unseen_channel,4,0.8499877452850342,0.8579897284507751,0.3786826692521572,0.15616696327924728,0.6812792494893074,0.001315311761572957,0.11515864357352257,0.339347779750824,0.15001225471496582,subset_16,0.7940265238285065,1.0
conv_conformer_v1,0.3512406162917614,True,seen_utterance_unseen_channel,5,0.8756186962127686,0.8788232803344727,0.3512381911277771,0.11866784747689962,0.6004095710813999,0.0008720133337192237,0.07896517403423786,0.2810060679912567,0.12438130378723145,subset_16,0.6831459142267704,1.0
conv_conformer_v1,0.3208371549844742,True,seen_utterance_unseen_channel,6,0.8963775932788849,0.897106409072876,0.32080382853746414,0.10398428048938513,0.5114924423396587,0.002470697509124875,0.05888380343094468,0.24264726042747498,0.10362240672111511,subset_16,0.570157777518034,1.0
conv_conformer_v1,0.30491724237799644,True,seen_utterance_unseen_channel,7,0.899491049349308,0.9017099738121033,0.3048674501478672,0.10190819948911667,0.4464397132396698,0.001317263813689351,0.049285202054306865,0.22199881076812744,0.10050895065069199,subset_16,0.4951012209057808,1.0
conv_conformer_v1,0.5856122374534607,True,unseen_speaker_unseen_utterance_unseen_channel,0,0.6577067822217941,0.6578971147537231,0.5854994207620621,0.3522959165275097,8.153692543506622,0.046391382813453674,4.360546439886093,2.087676763534546,0.34229321777820587,subset_16,12.392269253730774,1.0
conv_conformer_v1,0.32812597043812275,True,unseen_speaker_unseen_utterance_unseen_channel,1,0.9030375704169273,0.8912410140037537,0.32809280045330524,0.18807170167565346,2.038151189684868,0.0026518474332988262,0.4248998947441578,0.6518380641937256,0.09696242958307266,subset_16,2.2595212757587433,1.0
conv_conformer_v1,0.268221789970994,True,unseen_speaker_unseen_utterance_unseen_channel,2,0.9455996081233025,0.9275426864624023,0.26821439154446125,0.16185821779072285,1.4363096356391907,0.00010335873230360448,0.24548278376460075,0.49546220898628235,0.05440039187669754,subset_16,1.5196428149938583,1.0
conv_conformer_v1,0.23687220364809036,True,unseen_speaker_unseen_utterance_unseen_channel,3,0.9555756896734238,0.9443608522415161,0.2368693370372057,0.11864408664405346,1.104735478758812,-0.0013139952206984162,0.13627189304679632,0.3691478967666626,0.04442431032657623,subset_16,1.1556793302297592,1.0
conv_conformer_v1,0.19000204280018806,True,unseen_speaker_unseen_utterance_unseen_channel,4,0.9838158711791039,0.9637331366539001,0.19000168330967426,0.1099211573600769,0.8665457665920258,0.003049480961635709,0.09674629010260105,0.3110257089138031,0.01618412882089615,subset_16,0.8809954449534416,1.0
conv_conformer_v1,0.1853889562189579,True,unseen_speaker_unseen_utterance_unseen_channel,5,0.9853073135018349,0.9657436013221741,0.18540120497345924,0.10555738396942616,0.7463399097323418,0.0006951997056603432,0.07941742055118084,0.28181013464927673,0.01469268649816513,subset_16,0.7577285766601562,1.0
conv_conformer_v1,0.1679493449628353,True,unseen_speaker_unseen_utterance_unseen_channel,6,0.9904257208108902,0.9719973206520081,0.1679028905928135,0.0917578348889947,0.6316001936793327,0.0018170183757320046,0.05835552094504237,0.24156203866004944,0.009574279189109802,subset_16,0.6378127038478851,1.0
conv_conformer_v1,0.13233572896569967,True,unseen_speaker_unseen_utterance_unseen_channel,7,1.0014517307281494,0.982431173324585,0.13241298962384462,0.07249988242983818,0.5483274981379509,0.003415225073695183,0.039616036461666226,0.19900847971439362,-0.001451730728149414,subset_16,0.5477624796330929,1.0
conv_conformer_v1,0.7421102821826935,True,same_speaker_unseen_utterance_unseen_channel,0,0.4496324770152569,0.4479578733444214,0.742115743458271,0.5935499891638756,5.624454975128174,0.04360313341021538,7.439560949802399,2.7272074222564697,0.5503675229847431,subset_64,12.534753203392029,1.0
conv_conformer_v1,0.5715449452400208,True,same_speaker_unseen_utterance_unseen_channel,1,0.6642856150865555,0.6491707563400269,0.5715249441564083,0.36337609589099884,1.4186484962701797,-0.0031590221915394068,0.8237702995538712,0.9076124429702759,0.3357143849134445,subset_64,2.1837127953767776,1.0
conv_conformer_v1,0.5217459946870804,True,same_speaker_unseen_utterance_unseen_channel,2,0.7255014106631279,0.7219969630241394,0.5217125378549099,0.2977149561047554,0.9623465016484261,0.004435116425156593,0.39840950071811676,0.6311812996864319,0.2744985893368721,subset_64,1.3321861624717712,1.0
conv_conformer_v1,0.4594850204885006,True,same_speaker_unseen_utterance_unseen_channel,3,0.7878967970609665,0.7875720262527466,0.4594801478087902,0.2332708202302456,0.8110080733895302,-0.0004028486437164247,0.23800796829164028,0.48786044120788574,0.2121032029390335,subset_64,1.0292354598641396,1.0
conv_conformer_v1,0.4144679941236973,True,same_speaker_unseen_utterance_unseen_channel,4,0.8292353600263596,0.8281903862953186,0.41441530734300613,0.20089660584926605,0.6713244542479515,0.0015552830882370472,0.16336806025356054,0.4041851758956909,0.17076463997364044,subset_64,0.8094110637903214,1.0
