delta_pesq,delta_si_sdr_db,delta_speaker_similarity,delta_stoi,delta_visqol,delta_waveform_snr_db,latent_loss,layer7_loss,mode,multi_resolution_stft_distance,output_dc_mean,output_peak,output_rms,pesq,si_sdr_db,speaker_similarity,stft_l1,stft_ratio,stoi,stoi_available,stoi_error,summed_cosine_similarity,summed_normalized_mse,summed_pearson_correlation,summed_power_ratio,summed_raw_mse,utterance_id,visqol,waveform_correlation,waveform_snr_db
,-26.77005958557129,,,,-6.90820350497961,1.0274454578757286,1.0611510276794434,experiment_c_best_waveform,0.5953783988952637,-5.236033030087128e-05,0.10683324187994003,0.018635528162121773,,-20.79440689086914,,0.5768837332725525,2.5566340088482993,,False,pystoi is not installed,0.2732742130756378,0.9255520105361938,0.2733156979084015,0.06660627573728561,24.53961944580078,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3752/4944/3752-4944-0000.flac,,0.09088218212127686,0.03508148342370987
,,,,,,,,clean_codec,0.06073200702667236,-0.0005243862979114056,0.39220595359802246,0.07334978133440018,,4.799922466278076,,0.05775555595755577,,,False,pystoi is not installed,,,,,,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1272/141231/1272-141231-0020.flac,,0.8667395710945129,5.834351062774658
,-17.2485089302063,,,,-5.621527940034866,0.6700466088950634,0.8480289578437805,experiment_a_best_latent,0.1423942595720291,-0.00021216252935118973,0.16987834870815277,0.023248272016644478,,-12.448586463928223,,0.1375640630722046,2.381832549119597,,False,pystoi is not installed,0.7897148132324219,0.3771047592163086,0.7896430492401123,0.5810272693634033,7.557072639465332,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1272/141231/1272-141231-0020.flac,,0.23203477263450623,0.21282312273979187
,-17.696442127227783,,,,-5.628498584032059,0.6730143465101719,0.8505722880363464,experiment_a_best_waveform,0.14474499225616455,-0.00017207692144438624,0.1504378765821457,0.02037041448056698,,-12.896519660949707,,0.14031849801540375,2.429523804056583,,False,pystoi is not installed,0.7874316573143005,0.3815172612667084,0.7873520851135254,0.5592972040176392,7.645497798919678,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1272/141231/1272-141231-0020.flac,,0.22095562517642975,0.2058524787425995
,-44.280436992645264,,,,-6.29939603805542,1.0554530695080757,1.1105690002441406,experiment_b_best_waveform,0.16840532422065735,-3.670942896860652e-05,0.2771340012550354,0.024452077224850655,,-39.48051452636719,,0.16550029814243317,2.865530344198546,,False,pystoi is not installed,0.14515192806720734,1.0093921422958374,0.14549750089645386,0.10219747573137283,20.22793197631836,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1272/141231/1272-141231-0020.flac,,-0.010615676641464233,-0.4650449752807617
,-37.37396574020386,,,,-5.905295014381409,1.0174499526619911,1.0895841121673584,experiment_c_best_waveform,0.16525687277317047,-6.798269168939441e-05,0.06204580143094063,0.011560135520994663,,-32.57404327392578,,0.1638551652431488,2.837045934828591,,False,pystoi is not installed,0.41716116666793823,0.8270429372787476,0.4172411262989044,0.14784519374370575,16.573705673217773,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1272/141231/1272-141231-0020.flac,,0.02350584790110588,-0.07094395160675049
,,,,,,,,clean_codec,0.05935193598270416,-0.00018246914260089397,0.4868009388446808,0.06158485263586044,,7.450991153717041,,0.056031566113233566,,,False,pystoi is not installed,,,,,,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2803/154320/2803-154320-0007.flac,,0.9206346869468689,8.152566909790039
,-19.858826160430908,,,,-7.9794692248106,0.70796999335289,0.835432767868042,experiment_a_best_latent,0.1404169648885727,-2.4385588403674774e-05,0.19246280193328857,0.02324368990957737,,-12.407835006713867,,0.1341230422258377,2.393705040383664,,False,pystoi is not installed,0.7396662831306458,0.45391130447387695,0.7396090626716614,0.5953141450881958,8.6473388671875,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2803/154320/2803-154320-0007.flac,,0.23306672275066376,0.17309768497943878
,-19.65129327774048,,,,-7.935875773429871,0.7107415981590748,0.8393951654434204,experiment_a_best_waveform,0.1403273642063141,-2.854423291864805e-05,0.2106332927942276,0.02142864651978016,,-12.200302124023438,,0.13410690426826477,2.39341702491859,,False,pystoi is not installed,0.7355392575263977,0.45985159277915955,0.7354757785797119,0.5852702260017395,8.760505676269531,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2803/154320/2803-154320-0007.flac,,0.23838576674461365,0.21669113636016846
,-46.62705850601196,,,,-8.783197700977325,1.0674424022436142,1.1208608150482178,experiment_b_best_waveform,0.1714593768119812,1.0785937774926424e-05,0.20746858417987823,0.02506500855088234,,-39.17606735229492,,0.16485540568828583,2.942188075827318,,False,pystoi is not installed,0.07360618561506271,1.0757193565368652,0.07360312342643738,0.12848801910877228,20.49323272705078,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2803/154320/2803-154320-0007.flac,,-0.010994323529303074,-0.6306307911872864
,-37.304935932159424,,,,-8.328642532229424,1.0278492867946625,1.0506129264831543,experiment_c_best_waveform,0.17133337259292603,-6.890526856295764e-05,0.07506155222654343,0.011329788714647293,,-29.853944778442383,,0.16400112211704254,2.9269416061941675,,False,pystoi is not installed,0.2917247414588928,0.9148970246315002,0.2917296886444092,0.08474284410476685,17.42945098876953,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/2803/154320/2803-154320-0007.flac,,-0.03214232996106148,-0.17607562243938446
,,,,,,,,clean_codec,0.09228712320327759,-0.00013470333942677826,0.3271463215351105,0.09951921552419662,,5.147538661956787,,0.08763307332992554,,,False,pystoi is not installed,,,,,,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6319/57405/6319-57405-0006.flac,,0.875153124332428,6.225582122802734
,-18.317128658294678,,,,-6.057488098740578,0.6743101887404919,0.8545600771903992,experiment_a_best_latent,0.22972673177719116,-5.2847015467705205e-05,0.1451655626296997,0.032140396535396576,,-13.16958999633789,,0.22297139465808868,2.544374928157939,,False,pystoi is not installed,0.7761653065681458,0.39946305751800537,0.7761265635490417,0.5367412567138672,9.251338958740234,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6319/57405/6319-57405-0006.flac,,0.21443648636341095,0.16809402406215668
