comparison,delta_equalized_symbol_nmse,delta_post_eq_sinr_empirical_db,delta_si_sdr_db,delta_stft_ratio,delta_summed_latent_nmse,delta_waveform_snr_db,nominal_snr_db,realization,utterance_index
A_to_B,8.872894406318665,-14.750477313995361,-7.132308185100555,0.519136178481719,0.19011521339416504,-2.90765643119812,5.0,1,55
A_to_B,2.6501887142658234,-9.745665073394775,-16.469956755638123,0.6946504413819139,0.26896482706069946,-2.3460427969694138,5.0,0,56
A_to_B,0.8823398351669312,-5.764268636703491,-4.68471097946167,0.10881795530819538,0.11134031414985657,-1.9907135963439941,5.0,1,56
A_to_B,2.5959388613700867,-9.543305397033691,-1.4472801685333252,0.09931689251174647,0.03718729317188263,-0.8778936862945557,5.0,0,57
A_to_B,0.9651485979557037,-6.23043954372406,-10.929580211639404,0.5835599930186564,0.07353344559669495,-2.553512215614319,5.0,1,57
A_to_B,0.2794678509235382,-2.8394269943237305,-1.7258840799331665,0.1579238636296807,0.048937782645225525,-1.0903005599975586,5.0,0,58
A_to_B,0.2931797206401825,-2.8608620166778564,-1.3764853477478027,-0.02794709386780525,-0.007889941334724426,-0.912891149520874,5.0,1,58
A_to_B,0.28018268942832947,-2.7472667694091797,1.013458013534546,0.10646725188676598,0.020260989665985107,0.6436042785644531,5.0,0,59
A_to_B,-0.030861735343933105,0.44551944732666016,1.2474217414855957,-0.0667932085334837,-0.010984227061271667,0.9079937934875488,5.0,1,59
A_to_B,3.26000440120697,-10.444388389587402,-0.6398066878318787,0.38786135287905465,0.2818918973207474,-0.37884950637817383,5.0,0,60
A_to_B,1.6383067071437836,-7.933035850524902,-6.3366168439388275,0.4730090856550655,0.20455637574195862,-1.9641700983047485,5.0,1,60
A_to_B,1.5203020572662354,-7.4572060108184814,-9.094243288040161,0.7665060419438763,0.2462562471628189,-3.3581536412239075,5.0,0,61
A_to_B,0.4581262171268463,-3.8570799827575684,-1.6855077743530273,0.14761556690277322,0.12384162843227386,-0.8624160289764404,5.0,1,61
A_to_B,161.03093427419662,-27.09786891937256,-4.530764937400818,0.305777413680854,0.06851708889007568,-2.4685466289520264,5.0,0,62
A_to_B,-0.11051705479621887,1.8493976593017578,2.340226650238037,-0.09875509460587906,-0.03479975461959839,1.60390043258667,5.0,1,62
A_to_B,1.6629334092140198,-8.04051685333252,-1.1162817478179932,0.1036833107200954,0.08806148171424866,-0.27576422691345215,5.0,0,63
A_to_B,0.23255681991577148,-2.433903694152832,-0.7912530899047852,0.003426042767266324,-0.0015866458415985107,-0.34947043657302856,5.0,1,63
A_to_B,0.010735169053077698,-0.4279508590698242,0.5352826118469238,-0.015072841111175128,-0.009350910782814026,0.10555583238601685,10.0,0,0
A_to_B,0.5370312184095383,-7.887794375419617,-2.2903940677642822,0.24083148679250677,0.09629428386688232,-0.5462044477462769,10.0,1,0
A_to_B,0.11657506972551346,-3.3914270401000977,-5.07765930891037,0.5820003768893491,0.05688078701496124,-3.4007914066314697,10.0,0,1
A_to_B,0.14915834367275238,-3.8979949951171875,-2.4142651557922363,0.07837098347394411,0.02779102325439453,-1.9305205345153809,10.0,1,1
A_to_B,2.8694980815052986,-14.740527153015137,-4.930417776107788,0.3142469501920715,0.12142404913902283,-1.1360162496566772,10.0,0,2
A_to_B,1.2928255051374435,-11.300937414169312,-3.626879334449768,0.24223395588469954,0.11165721714496613,-1.1421929597854614,10.0,1,2
