burst_start_symbol,layer0_loss,layer1_loss,layer2_loss,layer3_loss,layer4_loss,layer5_loss,layer6_loss,layer7_loss,sample_id
28,0.25028514862060547,0.6898319721221924,0.7666196227073669,0.8237692713737488,0.7888712882995605,0.8975456953048706,0.9440497756004333,0.92423415184021,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=3
4,0.5904985070228577,0.8018290996551514,0.8025173544883728,0.9032309651374817,0.8787863254547119,0.9014773964881897,0.9466066360473633,0.951327383518219,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=3
26,0.4219092130661011,0.9345592260360718,0.9121142029762268,0.925316572189331,0.8295324444770813,0.951610267162323,0.8537445664405823,0.9429369568824768,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=4
18,0.20478354394435883,0.7060592174530029,0.7969105243682861,0.7671945691108704,0.8477048277854919,0.8479584455490112,0.8405783176422119,0.9366640448570251,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=4
20,0.3433955907821655,0.5614789724349976,0.7806559205055237,0.8324231505393982,0.8107379078865051,0.8717063069343567,0.8928219676017761,0.8938425183296204,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=4
25,0.30162566900253296,0.8172409534454346,0.8282001614570618,0.9095950126647949,0.8725709319114685,0.79969722032547,0.9053673148155212,0.8557887673377991,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=5
11,0.36980539560317993,0.8266198039054871,0.7378581166267395,0.8298981785774231,0.8315688967704773,0.836208164691925,0.8383758664131165,0.93559730052948,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=5
3,0.2826279103755951,0.7557652592658997,0.8166786432266235,0.8026997447013855,0.810050904750824,0.905540943145752,0.8909249305725098,0.9087066650390625,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=5
11,0.47785684466362,0.7272003293037415,0.714357316493988,0.7816281318664551,0.9540308117866516,0.9748444557189941,0.9082942605018616,0.9573957920074463,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=6
8,0.2275080680847168,0.41726866364479065,0.9254700541496277,0.9777612686157227,0.932090699672699,0.9373151063919067,0.9596188068389893,0.912354052066803,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=6
5,0.550234317779541,0.8550291657447815,0.8227308392524719,0.8824416995048523,0.9363130927085876,0.9040788412094116,0.9602875113487244,0.9204933047294617,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=6
2,0.4108814001083374,0.7569780945777893,0.846909761428833,0.8636164665222168,0.819862961769104,0.9236550331115723,0.8485898375511169,0.831956148147583,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=7
14,0.43294593691825867,0.5388336181640625,0.5373627543449402,0.77320796251297,0.7858458161354065,0.8763631582260132,0.883101224899292,0.8973401188850403,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=7
14,0.38819700479507446,0.8894401788711548,0.8765226602554321,0.8701314330101013,0.9467349648475647,0.9414106011390686,0.8832740187644958,0.9725751280784607,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=7
8,0.2298516184091568,0.767002522945404,0.7591156363487244,0.8195693492889404,0.8397874236106873,0.9035709500312805,0.8262766599655151,0.8464018702507019,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=8
17,0.2922308146953583,0.6981974840164185,0.7363084554672241,0.8085746765136719,0.9441472887992859,0.9008392691612244,0.8052511811256409,0.8943280577659607,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=8
13,0.3252817988395691,0.663977324962616,0.8368903398513794,0.7917896509170532,0.7603679299354553,0.9559005498886108,0.8853272199630737,0.8642306327819824,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=8
1,0.15702076256275177,0.7283226251602173,0.7782010436058044,0.9178258180618286,0.5967413783073425,0.7712726593017578,0.8386927843093872,0.6188443303108215,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=9
